topic,answer
Approval,You've set out a roadmap with results to be published within a short timescale. I see this as a positive move.
Transparency,You will need to show that the actions promised have taken place. This will have to happen quickly as well to show you mean what you say or you will loose even more members. 
Leading by example,You are perceived to set the standard - it matters that everyone thinks you are getting it right after recent events.
Approval,You are in the spotlight so have to implement them. Many other large organisations probably have similar weaknesses but they aren't under such scrutiny.
More detail needed,Would like to see a 'vision' statement of the culture you want to achieve within the organisation - even if that is one that is open to input from members and your own people at this stage.      
Disappointment in previous processes,Wondering where monitoring was before it got to this point
More detail needed,"Whilst there are some positive moves for change, it is still a little unclear how things will be different. We know so little about what happened, it is difficult to know whether any of the people responsible are still there. "
Transparency,"Whilst the allegations need thorough investigation and sanctions, the wrongful actions of a small minority must not tarnish the hard work and dedication of the remaining staff. With this in mind, the culture change should be proportionate and not impose a myriad of processes and box ticking. Change is a leadership, not a bureaucratic matter."
Needs processes,What safeguards and reviews are going to be put in place to prevent re-occurrence or early detection of future issues?
Approval,We support the steps the CompanyX has and intends to take
Transparency,"We support the need for extensive review and considerations. Where possible, review findings and forward plans should be shared with members to ensure transparency and regain trust."
Leading by example,Walk the talk
Approval,Very welcomed
Approval,Very supportive of this. 
Approval,Very much welcomed.  Also worth noting that many other companies should be doing the same thing.
Transparency,"Transparency, pace and authenticity will be key. I personally think external steer and accountability will be key and a requirement for front loaded activity if you want to try and rebuild confidence. "
Disappointment in previous processes,This whole episode should not have happened
Other,"This is an extract from an email I sent to Brian McBride on 22 April ....    Ryder has been a member of the CompanyX for many years.  It is the membership organisation I regard most highly.  Having spoken to CompanyX people past and present about the situation, and the many events I’ve attended, the culture being reported in the media is not one that I recognise.    Two of your colleagues were due to attend and present to our year end conference on Monday.  I spent the majority of yesterday afternoon, and into the evening, defending our relationship with the CompanyX and my personal support for those people.  I’m disappointed at this decision to suspend all activity without consultation.  A decision which seems to have been taken in response to the announcements of large corporations rather than smaller businesses like Ryder.  It appears you are now the Confederation of BIG Industry.    .... You need to be sure who you're representing, I suspect the shareholder value incentivised businesses may have different views than owner managed SMEs."
Transparency,This is an ambitious programme and will take longer than a couple of months to implement. We will need regular updates on the rebuilding of CompanyX to develop confidence and trust in the organisation.
Leading by example,"This is a watershed moment for the CompanyX and agree that cultural renewal should be a priority. We hope that this process will provide a gold standard for other organisations to follow. However, the process cannot be 'do once and move on' as this needs to be change that is embedded for the long-term, so do not underestimate the ongoing work and investment required."
Approval,They have my full support
Approval,These look like sensible steps to take and I am supportive
Other,"There is a big difference between the processes and procedures to limit abuses of power and toxic individual managers vs. an organisation that needs cultural change as a whole. I have seen many CompanyX people shocked at the experiences others describe and that it does not match their experience of the organisation. This doesn't limit the impact of those individuals that have had shocking experiences, but it doesn't negate the good that the CompanyX does and the commitment and positive approach I have seen from the CompanyX teams I've engaged with"
New leadership,"There appears to be a gap in reviewing and considering corporate governance and structure. It is difficult to see how current structure and personnel present at the time overhaul culture. Moreover the challenges around purpose, remit and relevance are brought into sharp relief by the spotlight shone on culture but are not restricted to it"
Support for staff,The vital outcome is that there is an effective route for employees' concerns regarding bullying or sexual harassment  to be addressed in a manner which gives them confidence and no fear of impact on their career progression. At the same time it is important that any concerns are brought to the attention of the Board.
Transparency,The transparency of the findings are very important. 
Other,"The public updates from Brian have been excruciating to read - not just because of the hideousness of what they revealed or hinted at but because they went way beyond what was necessary or acceptable to share in public. It was as if the primary strategy was extreme self-flagellation as if that would bring some public understanding or restore confidence when, in fact it did the opposite. "
Transparency,The proposals seem necessary but not sufficient.  More focus is needed on the board that will support the executive in the transformation and in ensuring that this both challenges and supports appropriately the transformation. 
More detail needed,The proposal lacks any firm action points and is too broad and is at best a vague intention of action! No details about the 35 suggestions. Why?! 
Approval,The proposal for cultural renewal is sound given the  findings from the independent Fox Williams review.
More detail needed,"The plan sounds logical and sensible at high level but cultural change/renewal does not happen overnight. We will only be reassured when we see a detailed, milestone-based transformation plan that will take the CompanyX on the journey they need to go on  "
